"name","group","group_follows","group_replies","group_votes"
"625","4,1,1",4,1,1
"14285","4,1,2",4,1,2
"18786","4,3,3",4,3,3
"30760","4,1,2",4,1,2
"31518","4,1,2",4,1,2
"35334","1,3,3",1,3,3
"36255","4,3,3",4,3,3
"41104","4,1,2",4,1,2
"43775","3,3,3",3,3,3
"43973","1,3,3",1,3,3
"45698","4,3,3",4,3,3
"49000","4,3,3",4,3,3
"50083","4,1,2",4,1,2
"50384","4,3,2",4,3,2
"50908","2,1,2",2,1,2
"51084","3,3,3",3,3,3
"51207","3,3,3",3,3,3
"52318","4,1,2",4,1,2
"53060","3,3,3",3,3,3
"55637","4,1,1",4,1,1
"59544","2,3,2",2,3,2
"63799","4,3,3",4,3,3
"66296","3,3,3",3,3,3
"72114","3,3,3",3,3,3
"72580","3,3,3",3,3,3
"73126","4,1,2",4,1,2
"82117","2,3,3",2,3,3
"83909","4,3,3",4,3,3
"88548","1,3,3",1,3,3
"89335","4,3,1",4,3,1
"91955","4,3,3",4,3,3
"92007","3,3,3",3,3,3
"94755","4,1,3",4,1,3
"96357","3,3,3",3,3,3
"100744","3,3,3",3,3,3
"109490","4,1,2",4,1,2
"114148","3,3,3",3,3,3
"116864","3,3,3",3,3,3
"118523","2,1,2",2,1,2
"119075","4,3,3",4,3,3
"121877","3,3,3",3,3,3
"123436","4,1,3",4,1,3
"129760","4,3,3",4,3,3
"129996","2,1,3",2,1,3
"133575","4,3,3",4,3,3
"141288","2,1,2",2,1,2
"143279","4,3,3",4,3,3
"150832","4,3,2",4,3,2
"150839","2,3,3",2,3,3
"151238","1,3,3",1,3,3
"152680","4,3,3",4,3,3
"153867","3,3,3",3,3,3
"155869","3,3,3",3,3,3
"157699","3,3,1",3,3,1
"158442","3,3,3",3,3,3
"160247","4,3,3",4,3,3
"165039","4,3,3",4,3,3
"166653","3,3,3",3,3,3
"167277","4,3,3",4,3,3
"168570","3,3,3",3,3,3
"169013","3,1,2",3,1,2
"175621","3,3,3",3,3,3
"175974","4,1,2",4,1,2
"177233","4,3,3",4,3,3
"177357","2,1,3",2,1,3
"177819","3,3,3",3,3,3
"179513","4,1,2",4,1,2
"187536","4,1,1",4,1,1
"190653","3,1,1",3,1,1
"191128","4,1,3",4,1,3
"191616","2,3,3",2,3,3
"192297","3,3,3",3,3,3
"194875","3,3,3",3,3,3
"195532","1,1,1",1,1,1
"199008","1,3,3",1,3,3
"208271","4,3,3",4,3,3
"211794","4,3,3",4,3,3
"225233","3,3,3",3,3,3
"225574","1,3,3",1,3,3
"233127","4,3,3",4,3,3
"234792","3,3,3",3,3,3
"238103","4,3,3",4,3,3
"238448","3,3,3",3,3,3
"243593","2,1,1",2,1,1
"244139","4,1,1",4,1,1
"245839","1,3,3",1,3,3
"247059","4,1,2",4,1,2
"249022","3,3,3",3,3,3
"499296","3,3,3",3,3,3
"499415","3,3,3",3,3,3
"499572","3,1,2",3,1,2
"499606","3,3,3",3,3,3
"499691","1,3,3",1,3,3
"499856","3,3,3",3,3,3
"499974","4,1,2",4,1,2
"500291","3,1,3",3,1,3
"500411","2,1,3",2,1,3
"500600","4,1,3",4,1,3
"501453","2,1,3",2,1,3
"502626","2,1,2",2,1,2
"502802","4,3,3",4,3,3
"502842","4,3,3",4,3,3
"503960","2,1,2",2,1,2
"505984","4,1,1",4,1,1
"507333","3,1,3",3,1,3
"509060","4,3,3",4,3,3
"509968","4,3,3",4,3,3
"511890","3,3,3",3,3,3
"514403","4,3,3",4,3,3
"515528","3,3,3",3,3,3
"517551","3,3,3",3,3,3
"520127","4,3,3",4,3,3
"520510","3,3,1",3,3,1
"524795","4,1,3",4,1,3
"526284","4,3,3",4,3,3
"527446","4,1,2",4,1,2
"527661","4,3,3",4,3,3
"530985","3,3,3",3,3,3
"531298","4,1,2",4,1,2
"531689","4,1,2",4,1,2
"531886","1,1,3",1,1,3
"533204","3,3,3",3,3,3
"533255","4,3,3",4,3,3
"533364","3,3,3",3,3,3
"534058","4,3,3",4,3,3
"534602","2,1,2",2,1,2
"534827","3,3,3",3,3,3
"537183","4,3,3",4,3,3
"537928","2,3,1",2,3,1
"539009","4,1,2",4,1,2
"539537","3,1,3",3,1,3
"540224","4,1,3",4,1,3
"542731","4,3,3",4,3,3
"542876","3,3,3",3,3,3
"543019","4,1,3",4,1,3
"543724","4,3,3",4,3,3
"546691","4,3,3",4,3,3
"547188","2,1,2",2,1,2
"547223","3,3,3",3,3,3
"548147","3,3,3",3,3,3
"549790","4,1,3",4,1,3
"550351","3,3,3",3,3,3
"550507","4,3,3",4,3,3
"552466","1,3,2",1,3,2
"559360","3,3,3",3,3,3
"559364","4,1,2",4,1,2
"569191","1,3,3",1,3,3
"570672","3,3,3",3,3,3
"571284","1,3,3",1,3,3
"572884","1,3,3",1,3,3
"574294","3,3,3",3,3,3
"574791","4,1,2",4,1,2
"576256","2,3,3",2,3,3
"576411","1,1,2",1,1,2
"579419","2,1,2",2,1,2
"581802","3,3,3",3,3,3
"584164","3,3,3",3,3,3
"586857","2,3,3",2,3,3
"587567","4,3,3",4,3,3
"590137","4,3,3",4,3,3
"603070","4,3,3",4,3,3
"605118","1,1,1",1,1,1
"606529","3,3,3",3,3,3
"606638","4,3,3",4,3,3
"608328","4,1,3",4,1,3
"224438","3,3,3",3,3,3
"209454","3,3,3",3,3,3
"96418","3,3,3",3,3,3
"184086","3,3,3",3,3,3
"127731","3,1,2",3,1,2
"190950","3,3,3",3,3,3
"24561","2,1,3",2,1,3
"93827","2,3,3",2,3,3
"138299","3,3,3",3,3,3
"224383","3,3,3",3,3,3
"106921","2,1,3",2,1,3
"31476","3,3,3",3,3,3
"566570","3,3,3",3,3,3
"32884","2,3,3",2,3,3
"119666","2,1,3",2,1,3
"26146","3,3,3",3,3,3
"205693","3,3,3",3,3,3
"54695","3,3,3",3,3,3
"200705","3,3,3",3,3,3
"581271","2,3,3",2,3,3
"102632","2,3,3",2,3,3
"107201","2,1,3",2,1,3
"210065","2,1,3",2,1,3
"585723","3,3,3",3,3,3
